"priority","candidate","category","reported_performance","hardware","precision","object_count","timing_scope","lifecycle_fit","caveat","next_action","source_url","local_speed_verified"
"1","Official SAM2.1-L compiled","same weights","Local gain unknown","GB10 target; A100 reference","BF16","1 in official example","propagation","closest fit","compile cost and numerical differences","benchmark first","https://github.com/facebookresearch/sam2/blob/main/RELEASE_NOTES.md","false"
"2","Official SAM2.1-B+ compiled","smaller model","64.1 FPS official table","A100","BF16 context","1 in official example","predictor","existing API","new weights; per-object cost remains","controlled comparison","https://github.com/facebookresearch/sam2#model-description","false"
"2","Official SAM2.1-Small compiled","smaller model","84.8 FPS official table","A100","BF16 context","1 in official example","predictor","existing API","quality tradeoff","controlled comparison","https://github.com/facebookresearch/sam2#model-description","false"
"3","EfficientTAM-S and efficient-memory Small","new model","S 85.0; S/2 109.4 FPS (2024 paper)","A100","pin local setting","batch 1","1024 VOS","similar; later insertion supported","current benchmark defaults to 512 and no checkpoint","retain TrackManager","https://github.com/yformer/EfficientTAM","false"
"4","SAM3.1 multiplex","shared object processing","about 7x versus SAM3 at 128 objects","H100","verify chosen runtime","128 headline; 16 per bucket default","video pipeline","adapter required","native 1008 input; new prompt/reset semantics","use existing local assets","https://github.com/facebookresearch/sam3/blob/main/RELEASE_SAM3p1.md","false"
"5","DeepStream MaskTracker","TensorRT temporal tracker","no matched throughput","DGX Spark container supported","FP16","multi-object","temporal SAM2 plus native tracker","different manager","developer preview; substantial integration","same RF-DETR detections","https://docs.nvidia.com/metropolis/deepstream/9.0/text/DS_plugin_gst-nvtracker.html#masktracker-developer-preview","false"
"6","SAM-MT","shared target queries","35.7 vs SAM2.1-B+ 4.9 FPS","RTX A6000 48 GB","BF16","15","GPU propagation only","substantial adaptation","grouped client IDs; noncommercial checkpoint","prove per-target lifecycle","https://arxiv.org/html/2607.08688v1","false"
"7","EdgeTAM","compressed memory model","150.9 vs SAM2.1-B+ 64.1 FPS","A100 compiled","verify chosen runtime","no matched local count","VOS","reference rejects later IDs","lifecycle port and quality loss","fixed-target experiment first","https://github.com/facebookresearch/EdgeTAM","false"
"8","Efficient-SAM2","sparse encoder/memory","1.68x Large","RTX A6000","FP32","20 SA-V clips","paper VOS","unverified","appendix reports little/no BF16 gains","defer","https://arxiv.org/html/2602.08224v1","false"
"8","Lean-SAM2","sparse memory/routing","1.412x Large; 1.417x B+","RTX 3090","strict FP32","20 LVOSv2 clips","paper VOS","unverified","quality headline compared to Efficient-SAM2","require BF16 evidence","https://github.com/DeawhaleQwQ/Lean-SAM2","false"
"secondary","Gy920 real-time SAM2","streaming fork","no matched MOT rate","unmatched","BF16 examples","unverified","camera API","adapter required","name does not prove throughput","streaming reference","https://github.com/Gy920/segment-anything-2-real-time","false"
"secondary","flybroken SAM2 TensorRT C++","temporal C++ runtime","about 33 FPS single target","A10","FP16","1 headline","author claims preprocess through boxes","unverified","1024 encoder; changed memory/motion policy","secondary runtime trial","https://github.com/flybroken/sam2-tensorrt","false"
"screened","ONNX Runtime SAM2 example","image export","no temporal MOT result","CPU/GPU","FP32/FP16","image decoder batch limitation","image components","no complete lifecycle","not a video predictor replacement","export building blocks","https://github.com/microsoft/onnxruntime/tree/main/onnxruntime/python/tools/transformers/models/sam2","false"
"screened","SAM2Fast/AOTInductor","image serving","up to 13x p90 latency","cloud serving","FP32 vs FP16","image prompts","SPS/MPS/AMG","not demonstrated","not a video benchmark","techniques only","https://pytorch.org/blog/accelerating-generative-ai-segment-anything-2/","false"
"screened","TinySAM 2","compressed model","no verified local result","paper V100","unverified","unverified","VOS research","unverified","deployable release not established","monitor","https://arxiv.org/html/2605.18013v1","false"
"screened","Q-SAM2","quantization","no verified temporal local latency","unmatched","low-bit research","unverified","video quality","unverified","storage reduction is not runtime proof","require real-kernel benchmark","https://arxiv.org/html/2506.09782v1","false"
"screened","Fast SAM2 text token pruning","text-guided sparsity","up to 42.50 percent faster claim","unmatched","unverified","unverified","paper VOS","unverified","text dependency; release not established","monitor","https://arxiv.org/abs/2512.21333","false"
"alternative","Selective Mask Propagation","selective SAM use","15.8 vs 5.5 FPS; four clips","RTX5090","BF16 context","sports; selective active targets","SAM plus merge only","different architecture","no all-player masks each frame; excludes detection","separate design experiment","https://github.com/holma91/selective-mask-propagation","false"
